rank,common_name,scientific_name_hyphens,taxonomy_id,keyword1,keyword2,
family,Sharks,Selachii,119203,shark,,
family,Elephants,Elephantidae,9780,elephant,,
family,Fish (Cartilaginous),Chondrichthyes,7777,fish,,
family,Parrots,Psittacidae,9224,parrot,,
family,Wolf Spiders,Lycosidae,74973,wolf,spider,
family,Spider Crabs,Majidae,6805,spider,crab,
family,Seal,Phocidae,9709,seal,,
family,Penaeid Shrimps,Penaeidae,6685,shrimp,,
family,Crab spiders,Thomisidae,94016,crab,spider,
family,Moles,Talpidae,9373,mole,,
family,Butterflyfish,Pantodontidae,8274,butterfly,fish,
family,Cat Sharks,Scyliorhinidae,7826,cat,shark,
family,Dogfish Sharks,Squalidae,30511,dog,shark,
genus,Wolf Snakes,Lycodon,39095,wolf,snake,
genus,Rats,Rattus,10114,rat,,
genus,Elephant Seals,Mirounga,9714,elephant,seal,
genus,Pigs,Sus,9822,pig,,
order,Spiders,Araneae,6893,spider,,
order,Frogs and Toads,Anura,8342,frog,,
order,Whales,Cetacea,9721,whale,,
order,Bats,Chiroptera,9397,bat,,
order,Camel Spiders,Solifugae,41356,camel,spider,
order,Flies,Diptera,7147,fly,,
order,Bats,Chiroptera,9397,bats,,
species,Elephant Shark,Callorhinchus_milii,7868,elephant,shark,
species,Cat,Felis_catus,9685,cat,,
species,Catfish,catfish,71179,cat,fish,
species,Leopard Seal,Hydrurga_leptonyx,29086,leopard,seal,
species,Lowland Leopard Frog,Rana_yavapaiensis,152347,leopard,frog,
species,Leopard Tortoise,Stigmochelys_pardalis,569598,leopard,tortoise,
species,Leopard,Panthera_pardus,9691,leopard,,
species,Parrotfish,Sparisoma_cretense,59664,parrot,fish,
species,Zebrafish,Danio_rerio,7955,zebra,fish,
species,Common Zebra,Equus_burchellii_quagga,89252,zebra,,
species,Spider Monkey,Ateles_sp.,9511,spider,monkey,
species,Whale Shark,Rhincodon_typus,259920,whale,shark,
species,Tiger Shark,Galeocerdo_cuvier,7819,tiger,shark,
species,Tiger Worm,Eisenia_fetida,6396,tiger,worm,
species,Tiger,Panthera_tigris,9694,tiger,,
species,California Kangaroo Rat,Dipodomys_californicus,10017,kangaroo,rat,
species,Kangaroo,Macropus_sp.,9322,kangaroo,,
species,Bat Ray,Myliobatis_californica,319543,bat,ray,
species,Naked Mole-Rat,Heterocephalus_glaber,10181,mole,rat,
species,Musky Rat-Kangaroo,Hypsiprymnodon_moschatus,65631,rat,kangaroo,
species,Hogfish,Lachnolaimus_maximus,202590,hog,fish,
species,Toadfish,Batrachoididae_gen._sp.,8066,toad,fish, 
species,Black Horsefly,Tabanus_atratus,7207,horse,fly,
species,Screaming Cowbird,Molothrus rufoaxillaris,84837,cow,bird,
species,Cow,Bos_taurus,9913,cow,,
species,Horse,Equus_caballus,9796,horse,,
species,Butterfly Bat,Glauconycteris_variegata,909369,butterfly,bat,
species,Butterfly Ray,Gymnura_natalensis,990590,butterfly,ray,
species,Gray Wolf,Canis_lupus,9612,wolf,,
species,Dog Salmon,Oncorhynchus keta,8018,dog,salmon,
species,Earthworm,Lumbricus terrestris,6398,worm,,
subspecies,Dog,Canis lupus familiaris,9615,dog,,
superfamily,Butterflies,Papilionoidea,37572,butterfly,,
superorder,Rays,Batoidea,117893,rays,,
