Selachii,Sharks
Elephantidae,Elephants
Chondrichthyes,Fish (Cartilaginous)
Psittacidae,Parrots
Lycosidae,Wolf Spiders
Majidae,Spider Crabs
Phocidae,Seal
Penaeidae,Penaeid Shrimps
Thomisidae,Crab spiders
Talpidae,Moles
Pantodontidae,Butterflyfish
Scyliorhinidae,Cat Sharks
Squalidae,Dogfish Sharks
Lycodon,Wolf Snakes
Rattus,Rats
Mirounga,Elephant Seals
Araneae,Spiders
Anura,Frogs and Toads
Cetacea,Whales
Chiroptera,Bats
Solifugae,Camel Spiders
Callorhinchus milii,Elephant Shark
Felis catus,Cat
catfish,Catfish
Hydrurga leptonyx,Leopard Seal
Rana yavapaiensis,Lowland Leopard Frog
Stigmochelys pardalis,Leopard Tortoise
Panthera pardus,Leopard
Sparisoma cretense,Parrotfish
Danio rerio,Zebrafish
Equus burchellii quagga,Common Zebra (Quagga)
Ateles sp.,Spider Monkey
Rhincodon typus,Whale Shark
Galeocerdo cuvier,Tiger Shark
Eisenia fetida,Tiger Worm
Panthera tigris,Tiger
Dipodomys californicus,California Kangaroo Rat
Macropus sp.,Kangaroo
Myliobatis californica,Bat Ray
Heterocephalus glaber,Naked Mole-Rat
Hypsiprymnodon moschatus,Musky Rat-Kangaroo
Lachnolaimus maximus,Hogfish
Batrachoididae gen. sp.,Toadfish
