Selachii,Sharks (fam.)
Elephantidae,Elephants (fam.)
Chondrichthyes,Fish (Cartilaginous) (fam.)
Psittacidae,Parrots (fam.)
Lycosidae,Wolf Spiders (fam.)
Majidae,Spider Crabs (fam.)
Phocidae,Seal (fam.)
Penaeidae,Penaeid Shrimps (fam.)
Thomisidae,Crab spiders (fam.)
Talpidae,Moles (fam.)
Pantodontidae,Butterflyfish (fam.)
Scyliorhinidae,Cat Sharks (fam.)
Squalidae,Dogfish Sharks (fam.)
Lycodon,Wolf Snakes (gen.)
Rattus,Rats (gen.)
Mirounga,Elephant Seals (gen.)
Sus,Pigs (gen.)
Araneae,Spiders (ord.)
Anura,Frogs and Toads (ord.)
Cetacea,Whales (ord.)
Chiroptera,Bats (ord.)
Solifugae,Camel Spiders (ord.)
Diptera,Flies (ord.)
Chiroptera,Bats (ord.)
Callorhinchus_milii,Elephant Shark (spe.)
Felis_catus,Cat (spe.)
catfish,Catfish (spe.)
Hydrurga_leptonyx,Leopard Seal (spe.)
Rana_yavapaiensis,Lowland Leopard Frog (spe.)
Stigmochelys_pardalis,Leopard Tortoise (spe.)
Panthera_pardus,Leopard (spe.)
Sparisoma_cretense,Parrotfish (spe.)
Danio_rerio,Zebrafish (spe.)
Equus_burchellii_quagga,Common Zebra (spe.)
Ateles_sp.,Spider Monkey (spe.)
Rhincodon_typus,Whale Shark (spe.)
Galeocerdo_cuvier,Tiger Shark (spe.)
Eisenia_fetida,Tiger Worm (spe.)
Panthera_tigris,Tiger (spe.)
Dipodomys_californicus,California Kangaroo Rat (spe.)
Macropus_sp.,Kangaroo (spe.)
Myliobatis_californica,Bat Ray (spe.)
Heterocephalus_glaber,Naked Mole-Rat (spe.)
Hypsiprymnodon_moschatus,Musky Rat-Kangaroo (spe.)
Lachnolaimus_maximus,Hogfish (spe.)
Batrachoididae_gen._sp.,Toadfish (spe.)
Tabanus_atratus,Black Horsefly (spe.)
Molothrus_rufoaxillaris,Screaming Cowbird (spe.)
Bos_taurus,Cow (spe.)
Equus_caballus,Horse (spe.)
Glauconycteris_variegata,Butterfly Bat (spe.)
Gymnura_natalensis,Butterfly Ray (spe.)
Canis_lupus,Gray Wolf (spe.)
Oncorhynchus_keta,Dog Salmon (spe.)
Lumbricus_terrestris,Earthworm (spe.)
Canis_lupus_familiaris,Dog (sub spec.)
Papilionoidea,Butterflies (s. fam.)
Batoidea,Rays (s. ord.)
