LABELS

SEPARATOR COMMA

DATA
Pantodontidae,Butterflyfish (fam.)
Scyliorhinidae,Cat Sharks (fam.)
Thomisidae,Crab spiders (fam.)
Squalidae,Dogfish Sharks (fam.)
Majidae,Spider Crabs (fam.)
Lycosidae,Wolf Spiders (fam.)
Mirounga,Elephant Seals (gen.)
Lycodon,Wolf Snakes (gen.)
Solifugae,Camel Spiders (ord.)
Myliobatis_californica,Bat Ray (spe.)
Tabanus_atratus,Black Horsefly (spe.)
Glauconycteris_variegata,Butterfly Bat (spe.)
Gymnura_natalensis,Butterfly Ray (spe.)
Dipodomys_californicus,California Kangaroo Rat (spe.)
catfish,Catfish (spe.)
Oncorhynchus_keta,Dog Salmon (spe.)
Deilephila_elpenor,Elephant Hawk-Moth (spe.)
Callorhinchus_milii,Elephant Shark (spe.)
Microcebus_murinus,Gray Mouse Lemur (spe.)
Lachnolaimus_maximus,Hogfish (spe.)
Hydrurga_leptonyx,Leopard Seal (spe.)
Stigmochelys_pardalis,Leopard Tortoise (spe.)
Rana_yavapaiensis,Lowland Leopard Frog (spe.)
Galeus_murinus,Mouse Catshark (spe.)
Ixodes_muris,Mouse Tick (spe.)
Hypsiprymnodon_moschatus,Musky Rat-Kangaroo (spe.)
Heterocephalus_glaber,Naked Mole-Rat (spe.)
Sparisoma_cretense,Parrotfish (spe.)
Molothrus_rufoaxillaris,Screaming Cowbird (spe.)
Melursus_ursinus,Sloth Bear (spe.)
Ateles_sp.,Spider Monkey (spe.)
Saimiri_sciureus,Squirrel Monkey (spe.)
Galeocerdo_cuvier,Tiger Shark (spe.)
Eisenia_fetida,Tiger Worm (spe.)
Batrachoididae_gen._sp.,Toadfish (spe.)
Cathartes_aura,Turkey Vulture (spe.)
Rhincodon_typus,Whale Shark (spe.)
Danio_rerio,Zebrafish (spe.)
